wavelength_A,flux,error,model,mission,instrument,plate,mjd,fiberid,specobjid,run2d,programname,data_release
3969.173,28.224138,2.1135654,27.237926,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3970.0862,27.445694,2.0858595,27.07205,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3971.0017,27.445997,2.1252456,26.978758,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3971.9153,28.221516,2.1323175,26.98082,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3972.8313,25.636927,2.103196,27.02291,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3973.745,27.654638,2.12619,27.026323,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3974.6592,30.270967,2.1686795,26.951529,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3975.576,30.153042,2.1778708,26.898218,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3976.4905,26.956207,2.1253374,26.93061,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3977.4075,28.361822,2.2074106,26.918236,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3978.3225,25.59909,2.157939,26.845734,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3979.2397,25.578121,2.158701,26.794361,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3980.1553,27.56229,2.1844795,26.82995,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3981.0708,28.365389,2.199346,26.915092,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3981.9888,27.465298,2.232307,26.838488,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3982.905,25.550264,2.2089226,26.706213,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3983.8232,27.299212,2.2706394,26.598806,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3984.7397,30.840473,2.3488817,26.54999,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3985.6587,23.359604,2.2249005,26.560131,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3986.5757,27.268332,2.3128853,26.48253,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3987.4927,23.705616,2.2337158,26.490957,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3988.412,23.629305,2.2323465,26.594173,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3989.3298,24.363094,2.281713,26.644411,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3990.2498,24.845007,2.3404803,26.598557,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3991.1677,27.291565,2.4393783,26.575901,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
