# wavelength_A flux_1e-17 err_1e-17
4140.9502 -0.14263532 0.39843082
4141.9028 -0.31721789 0.40525496
4142.8579 -0.17133522 0.40763733
4143.811 1.8814465 0.4194859
4144.7666 0.86606848 0.44780719
4145.7202 0.95238113 0.46988538
4146.6758 0.40072355 0.42182547
4147.6299 -0.39890873 0.39934748
4148.584 1.0489594 0.40801483
4149.5405 0.78886616 0.39210299
4150.4951 -0.40913117 0.3552722
4151.4526 0.18934429 0.37948391
4152.4072 0.36464664 0.40986216
4153.3647 -0.19040911 0.4147568
4154.3203 0.87033123 0.4317227
4155.2764 -0.00095871603 0.40228841
4156.2344 1.0312275 0.59080809
4157.1904 2.4019527 0.6046164
4158.1489 0.27595678 0.40615883
4159.1055 0.53356171 0.39770678
4160.0649 0.28328758 0.38886553
4161.022 0.80963057 0.38622168
4161.979 0.60460466 0.38817972
4162.939 -0.54627407 0.38797861
4163.8965 -0.15697359 0.40316018
4164.8564 0.73788738 0.43124461
4165.8149 0.3687371 0.43191579
4166.7754 0.70036107 0.41463649
4167.7339 0.54868209 0.39887908
4168.6929 -0.70451522 0.38664705
4169.6538 -0.15044776 0.40058336
4170.6133 0.64710331 0.41411698
4171.5752 -0.48249644 0.38901836
4172.5347 -0.079408735 0.39069891
4173.4971 0.88171774 0.40657675
4174.457 0.93728656 0.39487833
4175.4175 0.33517218 0.39200157
4176.3799 0.030286187 0.38059223
4177.3408 0.31928539 0.38713092
4178.3042 0.39602786 0.38322201
4179.2651 0.76028794 0.3914116
4180.229 0.26750067 0.38906252
4181.1909 0.42110285 0.38427329
4182.1548 0.11313079 0.3812072
4183.1172 -0.26859975 0.3913537
4184.0796 0.11890125 0.41765144
4185.0444 0.26628187 0.45405701
4186.0068 -0.18232568 0.41927457
4186.9722 0.82435858 0.39108258
4187.9355 1.7002246 0.3960827
4188.9014 -0.088331789 0.36457682
4189.8647 0.39655396 0.39443326
4190.8286 0.5839833 0.43130907
4191.7949 0.5015803 0.41970286
4192.7593 0.16779402 0.39016256
4193.7261 0.53354055 0.3822192
4194.6909 -0.033185158 0.36721599
4195.6582 0.1307101 0.36984318
4196.6235 0.30580112 0.41308069
4197.5889 -0.16025366 0.45245758
4198.5571 0.17395122 0.46285933
4199.5229 0.91853303 0.45647448
4200.4912 0.33688822 0.41150227
4201.4575 -0.21165976 0.39334774
4202.4263 0.89946717 0.38466838
4203.3931 0.63258284 0.37223998
4204.3599 0.3886292 0.36482975
4205.3296 0.13764524 0.34565175
4206.2969 -0.054758888 0.34526047
4207.2671 0.025480516 0.35736835
4208.2349 0.25700343 0.37439004
4209.2051 0.49468705 0.37931481
4210.1738 0.39650086 0.38422582
4211.1421 0.22189932 0.38786131
4212.1133 0.062692046 0.37515351
4213.082 -0.50140631 0.36387837
4214.0537 0.83937013 0.38076502
4215.0229 0.81616902 0.38981378
4215.9951 -0.078872629 0.38484049
4216.9648 -0.44361871 0.39297551
4217.9351 0.58332336 0.40836182
4218.9077 1.2311201 0.40968153
4219.8784 1.1819705 0.38008901
4220.8516 0.84156555 0.37119079
4221.8223 0.75249064 0.36573827
4222.7959 0.50991577 0.36620525
4223.7676 0.65402871 0.38929868
4224.7393 1.7083956 0.4160682
4225.7134 0.36944658 0.40345848
4226.6855 0.37243402 0.38403961
4227.6602 0.17234577 0.36185828
4228.6328 0.083488323 0.34905395
4229.6079 -0.038133193 0.35527283
4230.5806 -0.065802544 0.35207233
4231.5542 -0.27611881 0.35561401
4232.5298 0.26533031 0.36212152
4233.5034 0.54665673 0.36494195
4234.48 0.0062983059 0.35509035
4235.4541 0.19492701 0.36432105
4236.4307 0.64797932 0.3714976
4237.4053 0.33652535 0.36888593
4238.3799 0.81270361 0.36633572
4239.3574 0.54877412 0.35932344
4240.3325 0.4717229 0.36258656
4241.3105 0.48547682 0.36316514
4242.2861 0.99660611 0.36055991
4243.2642 0.52916151 0.35640523
4244.2407 0.4378064 0.35200813
4245.2168 0.017667932 0.36346918
4246.1958 -0.17642511 0.36021927
4247.1729 0.74912995 0.38815054
4248.1519 1.1557137 0.38768908
4249.1294 0.51593411 0.37725574
4250.1094 -0.35192594 0.37986439
4251.0869 -0.43558413 0.3973527
4252.0649 0.34906587 0.41172254
4253.0454 0.5071516 0.40945825
4254.0239 -0.34537816 0.36611596
4255.0049 0.15745667 0.3660565
4255.9834 0.21239258 0.35642511
4256.9648 0.42011005 0.35513094
4257.9443 0.84473932 0.37541443
4258.9263 1.1520936 0.37707424
4259.9058 1.0736392 0.37590849
4260.8857 0.45887756 0.37279463
4261.8687 0.30974254 0.35657966
4262.8491 -0.11549918 0.34820127
4263.832 0.66443616 0.35782859
4264.813 0.79151291 0.37263256
4265.7964 1.2568128 0.38170505
4266.7778 0.93927383 0.37646005
4267.7593 0.8706767 0.37393975
4268.7432 1.087249 0.37295124
4269.7256 1.3141391 0.38203961
4270.71 1.0603873 0.36873692
4271.6924 0.67797726 0.37574604
4272.6772 0.82654387 0.37313753
4273.6606 0.82601041 0.38507894
4274.6436 0.12820902 0.36504483
4275.6294 -0.33003986 0.3581942
4276.6128 -0.34214032 0.35207456
4277.5991 0.019848386 0.35846111
4278.583 0.24548644 0.3645061
4279.5698 0.87053758 0.37418443
4280.5542 0.15585877 0.35944706
4281.5391 0.74926364 0.38436735
4282.5264 0.93439806 0.40209287
4283.5117 0.024427805 0.38596109
4284.499 -0.24315992 0.38617933
4285.4849 0.14436343 0.35604671
4286.4731 0.5406298 0.36195755
4287.459 -0.12851629 0.35528868
4288.4453 0.13321367 0.36675382
4289.4346 0.2467856 0.3689056
4290.4214 0.63098121 0.3548485
4291.4106 0.45338979 0.34778988
4292.3979 -0.0099830115 0.34702697
4293.3877 0.51496714 0.35267553
4294.3755 0.66990292 0.36641425
4295.3633 0.42400223 0.38445038
4296.3535 0.28226307 0.39488274
4297.3423 0.5741322 0.39626315
4298.333 0.97825211 0.38820159
4299.3218 0.72005266 0.38004664
4300.3135 0.62249517 0.37068918
4301.3027 0.46769294 0.36065739
4302.292 0.36134762 0.34437698
4303.2842 -0.36397785 0.33703667
4304.2744 -0.50138062 0.34059817
4305.2666 0.21173462 0.36342815
4306.2573 0.55113345 0.37510601
4307.25 0.96755236 0.37315729
4308.2412 0.61145604 0.36091179
4309.2319 0.73669457 0.36933735
4310.2261 0.89872587 0.36709547
4311.2173 0.18512577 0.3560181
4312.2114 0.74823654 0.3749674
4313.2036 0.44814876 0.3954339
4314.1982 0.43987158 0.39974058
4315.1904 0.4975504 0.3993372
4316.1836 -0.13462996 0.39385739
4317.1787 0.60831028 0.3964394
4318.1719 -0.0093914131 0.3896994
4319.1675 0.46665064 0.39701873
4320.1611 -0.025484096 0.38352165
4321.1572 0.37750927 0.3934139
4322.1514 0.60941142 0.40343618
4323.146 0.72991121 0.39157665
4324.1426 1.0882596 0.36813948
4325.1377 -0.20822437 0.35135013
4326.1348 0.26625326 0.35922822
4327.1299 1.3271917 0.40328741
4328.1279 0.26549989 0.41973081
4329.1235 0.073563345 0.41783398
4330.1196 0.69154119 0.40859088
4331.1182 0.56736553 0.38179284
4332.1143 -0.42612615 0.35293669
4333.1133 -0.32890943 0.34757736
4334.1104 0.25177649 0.37084857
4335.1099 0.23030031 0.3690258
4336.1069 -0.19763161 0.3685652
4337.1069 0.25487134 0.37847283
4338.1045 0.98230761 0.37107447
4339.1025 0.33263484 0.37050951
4340.103 -0.0062093227 0.35845044
4341.1016 -0.42829031 0.34704563
4342.1025 0.68942261 0.35582593
4343.1016 0.80712944 0.37008896
4344.103 0.13617451 0.39724174
4345.1025 -0.3929798 0.41096509
4346.1021 -0.11893838 0.4461669
4347.104 0.41910917 0.45429957
4348.104 0.1839079 0.4500739
4349.1069 0.021570086 0.43234226
4350.1074 0.042298954 0.39537817
4351.1104 0.10574681 0.37517184
4352.1113 0.41790965 0.37832302
4353.1128 0.41530177 0.39608324
4354.1167 0.7684918 0.38845539
4355.1182 0.8357054 0.37923551
4356.1226 1.3244684 0.38135663
4357.1245 -0.18580629 0.41294014
4358.1294 0.73125923 0.48708013
4359.1318 -0.26315612 0.54587299
4360.1348 -0.59117788 0.54506886
4361.1401 -0.060063712 0.49468657
4362.1436 0.35386434 0.45237282
4363.1494 0.53898454 0.41925934
4364.1528 0.29777339 0.3915188
4365.1592 0.2540797 0.37426373
4366.1636 0.74294931 0.37725452
4367.168 0.23290506 0.36302605
4368.1753 0.72521025 0.36851341
4369.1802 0.21187676 0.44455114
4370.1875 -0.33949131 0.46581608
4371.1929 0.71651977 0.48874071
4372.2007 -0.069353357 0.45918161
4373.2065 0.43442833 0.3615289
4374.2129 1.0571098 0.36248553
4375.2212 0.70932025 0.36708677
