# wavelength_A donor_subtracted_flux_1e-17 err_1e-17
4216.965 5.238309 1.223573
4217.935 4.676909 1.203433
4218.908 0.8641841 1.141053
4219.878 4.215546 1.199234
4220.852 5.128407 1.232006
4221.822 7.240788 1.2928
4222.796 4.679551 1.294576
4223.768 6.311169 1.282932
4224.739 6.151896 1.279788
4225.713 4.606676 1.338145
4226.685 4.314931 1.346083
4227.66 5.008852 1.354014
4228.633 5.533214 1.317331
4229.608 5.354624 1.27842
4230.581 5.88983 1.179389
4231.554 3.247246 1.149225
4232.53 5.695833 1.190532
4233.503 5.246262 1.193911
4234.48 3.039647 1.159617
4235.454 4.327658 1.194687
4236.431 5.056587 1.288841
4237.405 5.698239 1.387849
4238.38 5.530193 1.415103
4239.357 4.875098 1.403425
4240.333 5.797195 1.310504
4241.31 5.617657 1.262553
4242.286 3.186374 1.204058
4243.264 4.484876 1.192794
4244.241 3.763647 1.191214
4245.217 1.813218 1.216959
4246.196 3.853438 1.257145
4247.173 2.761624 1.324402
4248.152 5.400194 1.346284
4249.129 5.878344 1.388608
4250.109 3.288804 1.345387
4251.087 5.130941 1.346072
4252.065 5.022823 1.358043
4253.045 4.458569 1.316551
4254.024 3.366216 1.295676
4255.005 6.412919 1.321241
4255.983 3.571464 1.292856
4256.965 4.204062 1.310195
4257.944 6.815711 1.307999
4258.926 5.054817 1.290884
4259.906 3.937899 1.23415
4260.886 4.354735 1.218162
4261.869 3.825163 1.227016
4262.849 4.299515 1.274286
4263.832 5.070354 1.298495
4264.813 4.934076 1.277531
4265.796 6.088815 1.267803
4266.778 4.032268 1.215797
4267.759 5.337113 1.215901
4268.743 4.764294 1.200013
4269.726 5.397398 1.210783
4270.71 4.015737 1.167046
4271.692 3.782884 1.156699
4272.677 4.972787 1.208681
4273.661 4.889807 1.227693
4274.644 5.568157 1.236401
4275.629 5.404008 1.221105
4276.613 4.429424 1.21318
4277.599 5.701347 1.231271
4278.583 3.699351 1.236122
4279.57 3.312255 1.218803
4280.554 3.622339 1.219238
4281.539 4.183278 1.175671
4282.526 3.439981 1.117723
4283.512 3.982003 1.179493
4284.499 4.938588 1.211262
4285.485 3.93585 1.197849
4286.473 5.721869 1.182267
4287.459 5.183871 1.155146
4288.445 2.910362 1.100318
4289.435 4.111939 1.099723
4290.421 4.97284 1.115147
4291.411 3.702627 1.136738
4292.398 5.824214 1.184134
4293.388 6.692212 1.248621
4294.376 5.669016 1.2105
4295.363 5.836153 1.220497
4296.354 5.544665 1.2015
4297.342 4.573648 1.15999
4298.333 4.225651 1.137009
4299.322 2.135425 1.110381
4300.314 7.314537 1.176427
4301.303 5.511335 1.154897
4302.292 5.125868 1.13048
4303.284 5.151296 1.140867
4304.274 4.227259 1.136645
4305.267 3.15251 1.156685
4306.257 4.527583 1.172031
4307.25 5.830954 1.204603
4308.241 3.370235 1.159625
4309.232 3.698155 1.165267
4310.226 7.476119 1.228546
4311.217 5.148683 1.232995
4312.211 3.722407 1.211259
4313.204 6.452733 1.250108
4314.198 4.502719 1.252864
4315.19 5.576533 1.257192
4316.184 4.189294 1.24404
4317.179 3.120625 1.21651
4318.172 4.202101 1.329104
4319.167 4.44241 1.37323
4320.161 5.813948 1.370264
4321.157 6.795037 1.350265
4322.151 5.56177 1.263622
4323.146 6.135534 1.180881
4324.143 3.622537 1.124167
4325.138 6.198478 1.166702
4326.135 6.129798 1.21008
4327.13 4.614877 1.157741
4328.128 5.411891 1.136228
4329.123 5.454086 1.128391
4330.12 4.84065 1.135415
4331.118 4.702806 1.147043
4332.114 4.568929 1.146672
4333.113 5.737444 1.154396
4334.11 3.313535 1.114672
4335.11 7.12528 1.142944
4336.107 6.61244 1.164196
4337.107 7.129967 1.200103
4338.105 8.07083 1.230694
4339.102 6.034494 1.23233
4340.103 8.617501 1.245885
4341.102 8.106676 1.550608
4342.102 7.695606 1.521593
4343.102 10.83348 1.238156
4344.103 10.4802 1.235456
4345.102 10.25539 1.232114
4346.102 7.938112 1.19892
4347.104 7.175425 1.20266
4348.104 3.791763 1.220678
4349.107 8.003225 1.624784
4350.107 8.963185 1.560457
4351.11 10.81142 1.52197
4352.111 7.045363 1.160268
4353.113 7.125534 1.140535
4354.117 10.03969 1.257015
4355.118 8.606941 1.323704
4356.123 6.368712 1.394551
4357.124 7.325266 1.58118
4358.129 9.244788 1.834521
4359.132 13.72685 2.077501
4360.135 7.547716 2.040185
4361.14 9.046213 1.688144
4362.144 11.59869 1.390315
4363.149 7.535828 1.287065
4364.153 10.5434 1.272342
4365.159 10.01401 1.291968
4366.164 9.307996 1.301767
4367.168 10.3734 1.307647
4368.175 9.403927 1.276326
4369.18 8.991904 1.250466
4370.188 10.44003 1.237063
4371.193 10.66399 1.250359
4372.201 9.81662 1.20815
4373.207 10.39255 1.200802
4374.213 11.18715 1.24492
4375.221 10.36777 1.250736
4376.228 10.32518 1.262384
4377.237 12.04346 1.288917
4378.244 11.02969 1.309958
4379.253 10.87374 1.282676
4380.261 11.34319 1.280177
4381.269 10.06063 1.256371
4382.279 13.32639 1.298261
4383.287 13.86251 1.292347
4384.298 10.93561 1.218555
4385.307 10.38742 1.207936
4386.318 13.07054 1.231852
4387.327 11.69734 1.216688
4388.336 12.20989 1.224015
4389.348 13.86939 1.266396
4390.358 13.67805 1.347364
4391.37 17.0476 1.395427
4392.38 15.5211 1.399763
4393.394 11.49171 1.30533
4394.404 14.10346 1.313152
4395.415 14.39314 1.285767
4396.429 12.88236 1.265487
4397.44 15.15051 1.271245
4398.454 14.30031 1.25244
4399.466 14.57665 1.268498
4400.48 16.87691 1.329206
4401.493 17.79443 1.355415
4402.505 16.47861 1.353849
4403.52 16.24869 1.337924
4404.534 15.6958 1.356192
4405.549 16.87152 1.396489
4406.562 19.53056 1.408539
4407.579 17.64396 1.360914
4408.593 16.85122 1.345903
4409.607 18.20427 1.353296
